CDB,8/10/14,00:01:00,33.27,57.94,13.53,13.12,70.70,29.66,1.13,0,0,0,0,NULL
CDB,8/10/14,00:02:00,39.24,53.39,15.05,13.95,94.02,34.12,1.13,0,0,0,0,NULL
CDB,8/10/14,00:03:00,34.11,56.37,15.14,14.54,84.38,32.60,1.13,0,0,0,0,NULL
CDB,8/10/14,00:04:00,38.49,43.27,13.66,12.58,71.37,30.53,1.13,0,0,0,0,NULL
CDB,8/10/14,00:05:00,32.62,49.78,12.87,15.70,74.09,33.50,1.13,0,0,0,0,NULL
CDB,8/10/14,00:06:00,33.42,47.26,13.89,16.24,75.99,28.17,1.13,0,0,0,0,NULL
CDB,8/10/14,00:07:00,32.69,49.24,13.87,12.73,94.65,25.73,1.13,0,0,0,0,NULL
CDB,8/10/14,00:08:00,33.71,55.22,15.34,13.55,89.90,25.46,1.13,0,0,0,0,NULL
CDB,8/10/14,00:09:00,34.85,57.14,15.64,15.24,86.81,26.67,1.13,0,0,0,0,NULL
CDB,8/10/14,00:10:00,35.90,53.56,14.47,13.55,79.47,27.00,1.13,0,0,0,0,NULL
CDB,8/10/14,00:11:00,37.82,44.04,12.69,12.85,89.89,28.44,1.13,0,0,0,0,NULL
CDB,8/10/14,00:12:00,37.41,44.01,15.35,12.01,87.61,31.69,1.13,0,0,0,0,NULL
CDB,8/10/14,00:13:00,34.10,49.45,15.66,15.47,88.72,29.95,1.13,0,0,0,0,NULL
CDB,8/10/14,00:14:00,33.64,52.42,14.78,11.99,78.72,31.47,1.13,0,0,0,0,NULL
CDB,8/10/14,00:15:00,34.62,49.89,13.01,13.25,92.70,31.46,1.13,0,0,0,0,NULL
CDB,8/10/14,00:16:00,30.12,54.85,14.04,15.09,88.67,27.31,1.13,0,0,0,0,NULL
CDB,8/10/14,00:17:00,33.14,45.32,12.54,13.38,81.17,29.32,1.13,0,0,0,0,NULL
CDB,8/10/14,00:18:00,32.43,56.24,14.76,12.66,75.35,29.00,1.13,0,0,0,0,NULL
CDB,8/10/14,00:19:00,35.97,46.74,13.36,16.16,93.82,28.80,1.13,0,0,0,0,NULL
CDB,8/10/14,00:20:00,33.75,56.16,12.92,14.18,91.49,29.95,1.13,0,0,0,0,NULL
CDB,8/10/14,00:21:00,35.99,46.69,12.58,13.05,95.24,28.74,1.14,0,0,0,0,NULL
CDB,8/10/14,00:22:00,30.68,42.68,15.23,13.43,88.52,33.23,1.13,0,0,0,0,NULL
CDB,8/10/14,00:23:00,30.30,45.64,12.72,13.84,97.57,30.23,1.13,0,0,0,0,NULL
CDB,8/10/14,00:24:00,28.38,55.52,14.58,12.45,81.99,32.34,1.13,0,0,0,0,NULL
